"sim_no","mitigation","prob","test_type","start_type","n_HH","test_days","test_sens","total_days","run_specials_now","child_trans","teacher_trans","high_school","p_asymp_adult","p_asymp_child","p_subclin_adult","p_subclin_child","mult_asymp","mult_asymp_child","quarantine.length","quarantine.grace","turnaround.time","n_other_adults","n_class","test_quarantine","disperse_transmission","dedens","n_start","days_inf","time","n_contacts","n_staff_contact","rel_trans_child_symp_HH","rel_trans","start_mult","test_start_day","n_tot","isolate","no_test_vacc","time_seed_inf","seed_asymp","surveillance","overdisp_off","num_adults","version","include_weekends","rel_trans_adult","rapid_test_sens","adult_unvax_hosp_rate","child_unvax_hosp_rate","adult_vax_hosp_rate","child_vax_hosp_rate","type","variant.attack","vax.rates","notify.scenario","vax_eff","attack.df","child.vax","teacher_susp","child_susp","family_susp","notify","test","test_frac","i","rel_trans_HH","rel_trans_CC","adult_prob","child_prob","class"
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,9
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,22
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,14
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,12
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,14
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,29
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,57
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,18
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,16
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,8
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,17
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,42
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,19
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,15
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,48
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,2
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,12
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,17
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,25
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,9
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,35
1,0,0.00039,"all","cont",1,"week",0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.07,0,0.5,0.5,0.5,TRUE,FALSE,0,1,2,1,6e-04,0.00039,20
